x,y,water
1120,227,False
1119,226,False
1118,226,False
1117,225,False
1116,225,False
1115,224,False
1114,224,False
1113,223,False
1112,223,False
1111,222,False
1110,222,False
1109,221,False
1108,221,False
1107,220,False
1106,220,False
1105,219,False
1104,219,False
1103,218,False
1102,218,False
1101,217,False
1100,217,False
1099,216,False
1098,216,False
1097,215,False
1096,215,False
1095,214,False
1094,214,False
1093,213,False
1092,213,False
1091,212,False
1090,212,False
1089,211,False
1088,211,False
1087,210,False
1086,210,False
1085,209,False
1084,209,False
1083,208,False
1082,208,False
1081,207,False
1080,207,False
1079,206,False
1078,205,False
1077,205,False
1076,204,False
1075,204,False
1074,203,False
1073,203,False
1072,202,False
1071,202,False
1070,201,False
1069,201,False
1068,200,False
1067,200,False
1066,199,False
1065,199,False
1064,198,False
1063,198,False
1062,197,False
1061,197,False
1060,196,False
1059,196,False
1058,195,False
1057,195,False
1056,194,False
1055,194,False
1054,193,False
1053,193,False
1052,192,False
1051,192,False
1050,191,False
1049,191,False
1048,190,False
1047,190,False
1046,189,False
1045,189,False
1044,188,False
1043,188,False
1042,187,False
1041,187,False
1040,186,False
1039,186,False
1038,185,False
1037,185,False
1036,184,False
1035,184,False
1034,183,False
1033,183,False
1032,182,False
1031,182,False
1030,181,False
1029,181,False
1028,180,False
1027,180,False
1026,179,False
1025,179,False
1024,178,False
1023,178,False
1022,177,False
1021,177,False
1020,176,False
1019,176,False
1018,175,False
1017,175,False
1016,174,False
1015,174,False
1014,173,False
1013,172,False
1012,172,False
1011,171,False
1010,170,False
1009,170,False
1008,169,False
1007,168,False
1006,167,False
1005,167,False
1004,166,False
1003,165,False
1002,165,False
1001,164,False
1000,163,False
999,163,False
998,162,False
997,161,False
996,161,False
995,160,False
994,159,False
993,159,False
992,158,False
991,157,False
990,156,False
989,156,False
988,155,False
987,154,False
986,154,False
985,153,False
984,152,False
983,152,False
982,151,False
981,150,False
980,150,False
979,149,False
978,148,False
977,148,False
976,147,False
975,146,False
974,145,False
973,145,False
972,144,False
971,143,False
970,143,False
969,142,False
968,141,False
967,141,False
966,140,False
965,139,False
964,139,False
963,138,False
962,137,False
961,137,False
960,136,False
959,135,False
958,134,False
957,134,False
956,133,False
955,132,False
954,132,False
953,131,False
952,130,False
951,130,False
950,129,False
949,128,False
948,128,False
947,127,False
946,126,False
945,126,False
944,125,False
943,124,False
942,123,False
941,123,False
940,122,False
939,121,False
938,121,False
937,120,False
936,120,False
935,121,False
934,121,False
933,122,False
932,122,False
931,122,False
930,123,False
929,123,False
928,124,False
927,124,False
926,125,False
925,125,False
924,125,False
923,126,False
922,126,False
921,127,False
920,127,False
919,127,False
918,128,False
917,128,False
916,129,False
915,129,False
914,130,False
913,130,False
912,130,False
911,131,False
910,131,False
909,132,False
908,132,False
907,132,False
906,133,False
905,133,False
904,134,False
903,134,False
902,135,False
901,135,False
900,135,False
899,136,False
898,136,False
897,137,False
896,137,False
895,137,False
894,138,False
893,138,False
892,139,False
891,139,False
890,140,False
889,140,False
888,140,False
887,141,False
886,141,False
885,142,False
884,142,False
883,142,False
882,143,False
881,143,False
880,144,False
879,144,False
878,145,False
877,145,False
876,145,False
875,146,False
874,146,False
873,147,False
872,147,False
871,147,False
870,148,False
869,148,False
868,149,False
867,149,False
866,150,False
865,150,False
864,150,False
863,151,False
862,151,False
861,152,False
860,152,False
859,152,False
858,153,False
857,153,False
856,154,False
855,154,False
854,155,False
853,155,False
852,155,False
851,156,False
850,156,False
849,157,False
848,157,False
847,157,False
846,158,False
845,158,False
844,159,False
843,159,False
842,159,False
841,160,False
840,160,False
839,161,False
838,161,False
837,162,False
836,162,False
835,162,False
834,163,False
833,163,False
832,164,False
831,164,False
830,164,False
829,165,False
828,165,False
827,166,False
826,166,False
825,167,False
824,167,False
823,167,False
822,168,False
821,168,False
820,169,False
819,169,False
818,169,False
817,170,False
816,170,False
815,171,False
814,171,False
813,172,False
812,172,False
811,172,False
810,173,False
809,173,False
808,174,False
807,174,False
806,174,False
805,175,False
804,175,False
803,176,False
802,176,False
801,177,False
800,177,False
799,177,False
798,178,False
797,178,False
796,179,False
795,179,False
794,179,False
793,180,False
792,180,False
791,181,False
790,181,False
789,182,False
788,182,False
787,182,False
786,183,False
785,183,False
784,184,False
783,184,False
782,184,False
781,185,False
780,185,False
779,186,False
778,186,False
777,187,False
776,187,False
775,187,False
774,188,False
773,188,False
772,189,False
771,189,False
770,190,False
770,191,False
769,192,False
768,193,False
768,194,False
767,195,False
766,196,False
766,197,False
765,198,False
764,199,False
763,200,False
763,201,False
762,202,False
761,203,False
761,204,False
760,205,False
759,206,False
759,207,False
758,208,False
757,209,False
756,210,False
755,211,False
754,212,False
753,213,False
752,214,False
751,215,False
750,216,False
749,217,False
748,218,False
747,219,False
746,219,False
745,220,False
744,220,False
743,221,False
742,222,False
741,222,False
740,223,False
739,223,False
738,224,False
737,224,False
736,225,False
735,226,False
734,226,False
733,227,False
732,227,False
731,228,False
730,228,False
729,228,False
728,229,False
727,229,False
726,229,False
725,229,False
724,230,False
723,230,False
722,230,False
721,230,False
720,230,False
719,231,False
718,231,False
717,231,False
717,232,False
717,233,False
718,234,False
718,235,False
718,236,False
718,237,False
718,238,False
718,239,False
719,240,False
719,241,False
719,242,False
719,243,False
719,244,False
719,245,False
720,246,False
720,247,False
720,248,False
720,249,False
720,250,False
720,251,False
721,252,False
721,253,False
721,254,False
721,255,False
721,256,False
721,257,False
722,258,False
722,259,False
722,260,False
722,261,False
722,262,False
722,263,False
723,264,False
723,265,False
723,266,False
723,267,False
723,268,False
723,269,False
724,270,False
724,271,False
724,272,False
724,273,False
724,274,False
724,275,False
725,276,False
725,277,False
725,278,False
725,279,False
725,280,False
725,281,False
726,282,False
726,283,False
726,284,False
726,285,False
726,286,False
726,287,False
727,288,False
727,289,False
727,290,False
727,291,False
727,292,False
727,293,False
728,294,False
728,295,False
728,296,False
728,297,False
728,298,False
728,299,False
729,300,False
729,301,False
729,302,False
729,303,False
729,304,False
729,305,False
730,306,False
730,307,False
730,308,False
730,309,False
730,310,False
730,311,False
731,312,False
731,313,False
731,314,False
731,315,False
731,316,False
731,317,False
732,318,False
732,319,False
732,320,False
732,321,False
732,322,False
732,323,False
733,324,False
733,325,False
733,326,False
733,327,False
733,328,False
733,329,False
734,330,False
734,331,False
734,332,False
734,333,False
734,334,False
734,335,False
735,336,False
735,337,False
735,338,False
735,339,False
735,340,False
735,341,False
736,342,False
736,343,False
736,344,False
736,345,False
736,346,False
736,347,False
737,348,False
737,349,False
737,350,False
737,351,False
737,352,False
737,353,False
738,354,False
738,355,False
738,356,False
738,357,False
738,358,False
738,359,False
739,360,False
739,361,False
739,362,False
739,363,False
739,364,False
739,365,False
740,366,False
740,367,False
740,368,False
740,369,False
740,370,False
740,371,False
741,372,False
741,373,False
741,374,False
741,375,False
741,376,False
741,377,False
742,378,False
742,379,False
742,380,False
742,381,False
742,382,False
742,383,False
743,384,False
743,385,False
743,386,False
743,387,False
742,387,False
741,387,False
740,388,False
739,388,False
738,388,False
737,388,False
736,389,False
735,389,False
734,389,False
733,389,False
732,389,False
731,390,False
730,390,False
729,390,False
728,390,False
727,391,False
726,391,False
725,391,False
724,391,False
723,391,False
722,392,False
721,392,False
720,392,False
719,392,False
718,393,False
717,393,False
716,393,False
715,393,False
714,393,False
713,394,False
712,394,False
711,394,False
710,394,False
709,395,False
708,395,False
707,395,False
706,395,False
705,396,False
704,396,False
703,396,False
702,396,False
701,396,False
700,397,False
699,397,False
698,397,False
697,397,False
696,398,False
695,398,False
694,398,False
693,398,False
692,398,False
691,399,False
690,399,False
689,399,False
688,399,False
687,400,False
686,400,False
685,400,False
684,400,False
683,400,False
682,401,False
681,401,False
680,401,False
679,401,False
678,402,False
677,402,False
676,402,False
675,402,False
674,402,False
673,403,False
672,403,False
671,403,False
670,403,False
669,404,False
668,404,False
667,404,False
666,404,False
665,404,False
664,405,False
663,405,False
662,405,False
661,405,False
660,406,False
659,406,False
658,406,False
657,406,False
656,406,False
655,407,False
654,407,False
653,407,False
652,407,False
651,408,False
650,408,False
649,408,False
648,408,False
647,409,False
646,409,False
645,409,False
644,409,False
643,409,False
642,410,False
